Frame,Pixel Count
MOG,4683
MOG2,9532
GMG,1518
KNN,9400
CNT,8016
MOG,4762
MOG2,9606
GMG,2356
KNN,9480
CNT,8034
MOG,4768
MOG2,9622
GMG,2488
KNN,9496
CNT,8029
MOG,4754
MOG2,9629
GMG,2258
KNN,9441
CNT,8016
MOG,4756
MOG2,9595
GMG,2183
KNN,9387
CNT,8023
MOG,4755
MOG2,9579
GMG,1867
KNN,9426
CNT,7996
MOG,4746
MOG2,9686
GMG,2460
KNN,9451
CNT,7998
MOG,4694
MOG2,9632
GMG,2263
KNN,9460
CNT,7968
MOG,4646
MOG2,9609
GMG,1989
KNN,9394
CNT,7926
MOG,4669
MOG2,9839
GMG,2018
KNN,9572
CNT,7999
MOG,4640
MOG2,9772
GMG,1842
KNN,9474
CNT,7980
MOG,4695
MOG2,9750
GMG,2337
KNN,9477
CNT,7936
MOG,4658
MOG2,9608
GMG,2003
KNN,9422
CNT,7909
MOG,4714
MOG2,9567
GMG,1961
KNN,9357
CNT,7876
MOG,4714
MOG2,9442
GMG,1650
KNN,9342
CNT,7852
MOG,4734
MOG2,9435
GMG,1823
KNN,9360
CNT,7891
MOG,4716
MOG2,9548
GMG,2692
KNN,9424
CNT,7840
MOG,4689
MOG2,9516
GMG,2521
KNN,9441
CNT,7905
MOG,4690
MOG2,9541
GMG,2441
KNN,9500
CNT,7979
MOG,4675
MOG2,9553
GMG,2008
KNN,9589
CNT,8043
MOG,4669
MOG2,9550
GMG,1856
KNN,9579
CNT,8058
MOG,4644
MOG2,9683
GMG,2488
KNN,9680
CNT,8006
MOG,4635
MOG2,9624
GMG,2384
KNN,9633
CNT,7991
MOG,4626
MOG2,9541
GMG,2040
KNN,9517
CNT,7967
MOG,4599
MOG2,9505
GMG,1617
KNN,9454
CNT,7893
MOG,4558
MOG2,9480
GMG,1647
KNN,9371
CNT,7821
MOG,4513
MOG2,9471
GMG,2568
KNN,9353
CNT,7761
MOG,4460
MOG2,9317
GMG,2408
KNN,9208
CNT,7723
MOG,4407
MOG2,9305
GMG,2130
KNN,9161
CNT,7650
MOG,4387
MOG2,9227
GMG,1700
KNN,9184
CNT,7661
MOG,4370
MOG2,9199
